,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene11_cell1599,0.71439743,0.7235899,0.9774719,0.25826484,0.8300483,1.0351428,0.87138563,0.55730814,0.79150033,0.64069057,1.2367345,0.26836917,0.18713613,JE-TMA-41
JE-TMA-41_scene11_cell3174,0.21198347,0.2591145,0.09924913,0.53505623,0.4331744,0.3456737,0.58990675,1.2891625,0.4726224,0.7090081,0.057753585,0.019560736,0.47431746,JE-TMA-41
JE-TMA-41_scene11_cell1092,0.66355556,0.41746008,0.5985231,0.54722726,0.68367714,0.46655667,0.52820945,0.3733751,1.2175887,0.26895392,0.6614175,0.13498887,0.16589405,JE-TMA-41
JE-TMA-41_scene11_cell1828,0.6857238,0.4832354,0.85101795,0.16587593,0.65903825,0.61469674,0.6465819,0.28611502,0.71662027,0.30782494,0.6789806,0.34153977,0.3542093,JE-TMA-41
JE-TMA-41_scene11_cell2364,0.4815303,0.32907635,0.8988093,0.5387714,0.67670506,0.6712316,0.54707795,0.24653701,0.68852544,0.22331361,0.58227384,0.41069818,0.59391505,JE-TMA-41
JE-TMA-41_scene11_cell1466,0.72225446,0.5173595,0.6402027,0.1806636,0.6014545,0.8829677,0.6652502,0.19735612,0.5687002,0.4588624,1.1993809,0.45282027,0.19358328,JE-TMA-41
JE-TMA-41_scene11_cell1813,0.28524956,0.23049015,0.35348234,0.4624952,0.4975282,0.5290494,0.40758568,0.7860635,0.71056855,0.2805651,0.27634954,0.05803111,0.12572275,JE-TMA-41
JE-TMA-41_scene11_cell3459,0.5611735,0.38972044,0.32603008,0.11587445,0.5971561,0.28185552,0.60617137,0.22716859,0.28003877,0.64739174,0.39059216,0.342158,0.30785218,JE-TMA-41
JE-TMA-41_scene11_cell2769,0.5094338,0.99939203,0.8407447,1.0299432,0.74354863,0.7335483,0.72361165,1.220716,0.673813,1.0757668,0.49114212,0.07735348,0.14643462,JE-TMA-41
JE-TMA-41_scene11_cell2220,0.34604457,0.48061457,0.7030698,0.20240997,0.72016317,0.3224279,0.8989419,0.4058635,0.54801583,0.38225862,0.4156735,0.16189012,0.20875287,JE-TMA-41
JE-TMA-41_scene11_cell2377,0.49423486,0.44712234,0.8014757,0.24588849,0.68022335,0.58381325,0.67022693,0.27951798,0.47835258,0.44755843,0.7962479,0.29678732,0.25537848,JE-TMA-41
JE-TMA-41_scene11_cell2645,0.71126056,0.48348543,0.76607805,0.22374634,0.59600306,0.35461843,0.81685114,0.45682645,0.49821422,0.9782343,0.52091545,0.479807,0.21927613,JE-TMA-41
JE-TMA-41_scene11_cell3560,0.55220294,0.8345641,1.074438,1.240457,0.72257525,0.7348351,0.79839915,0.47102213,0.7028555,0.48516273,0.84773153,0.34009388,0.8316269,JE-TMA-41
JE-TMA-41_scene11_cell2778,0.6974039,0.365328,0.81112474,0.22641452,0.60004765,0.37310126,0.7993499,0.58913445,0.4164174,0.7328578,0.39669833,0.13059255,0.21805307,JE-TMA-41
JE-TMA-41_scene11_cell1616,0.8776424,0.55275166,0.55122626,0.14572719,0.6732693,0.3151196,0.81421405,0.59413713,0.6106111,0.42376816,0.5964141,0.2199916,0.40707693,JE-TMA-41
JE-TMA-41_scene11_cell1300,0.8589429,0.5969182,0.5790573,0.1368677,0.6967937,0.29023418,0.7610747,0.38362607,0.58780617,0.6064163,0.847091,0.36804003,0.40840304,JE-TMA-41
JE-TMA-41_scene11_cell3366,0.5417576,0.42181107,0.74017227,0.5576082,0.6971201,0.9744984,0.5836474,0.38690802,0.56999826,0.7913556,0.50705594,0.16868648,0.12862836,JE-TMA-41
JE-TMA-41_scene11_cell2500,0.35151255,0.6910706,0.5971125,0.8949554,0.6778783,0.25221625,0.49017486,0.21678999,0.4750241,1.0345818,0.56779957,0.20410377,0.5435742,JE-TMA-41
JE-TMA-41_scene11_cell1099,1.1229407,0.5597559,0.52033514,0.30910718,0.43354243,0.3370504,0.84687114,0.5559721,0.6979434,0.51477194,0.55436707,0.30741483,0.37185574,JE-TMA-41
