,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2971,0.17505708,1.2314637,0.34972918,1.8584775,0.30237415,6.6467986,0.9733881,1.4354788,1.2984796,0.99387646,0.7303858,1.1645998,0.1614774,0.20789039,0.039159898,0.1261094,0.010611657,0.01813354,0.19374037,0.08447907,0.033477195,0.623017,0.16142507,0.06880362,JE-TMA-41
JE-TMA-41_scene01_cell730,0.17590381,0.14237005,1.2843964,0.9797792,0.3396626,1.4136733,0.15689985,0.960939,0.86324835,0.6658154,5.341483,0.16856097,0.008464645,0.12559819,0.0014915077,0.12038541,0.021955797,0.015399095,0.22042967,0.12330803,0.6881651,0.3619755,1.4769133,0.06533951,JE-TMA-41
JE-TMA-41_scene01_cell2060,0.17978641,1.7373954,0.16401234,1.1714021,0.7360712,2.8001235,0.5674379,0.85652333,0.9428922,1.9728938,0.078408904,0.05968516,0.26270297,0.09139385,0.0014300089,0.12179888,0.008235396,0.017968947,0.18246824,0.17462504,0.0071501643,1.004221,0.1417878,0.14273964,JE-TMA-41
JE-TMA-41_scene01_cell1398,0.17596523,0.44078162,0.61809766,1.23614,0.3333683,4.0067554,0.6555152,1.0335447,0.21381386,0.86029994,0.77178687,0.0155228,0.00454438,0.07735432,0.0004640177,0.12650414,0.079629965,0.012268805,0.18155977,0.054828662,0.002000682,0.37012833,0.052673627,0.022107027,JE-TMA-41
JE-TMA-41_scene01_cell3012,0.19935195,1.3037957,0.35496217,1.6218399,0.48757273,4.124577,0.7521946,1.1753314,0.2706947,0.9288501,0.56119835,1.6616621,0.1690221,0.11064509,0.031705473,0.13096263,0.016209824,0.016904365,0.19047011,0.0449279,0.0013356071,0.4014057,0.12460748,0.09627894,JE-TMA-41
JE-TMA-41_scene01_cell1314,0.376988,0.67008764,0.54870343,2.353644,0.509852,6.6088796,1.3813334,1.6106808,0.6006779,0.92676044,1.4234219,1.0436414,0.2834191,0.1504805,0.028034834,0.13692568,0.037092112,0.021082424,0.21788022,0.27621055,0.085688144,0.44944534,0.45597938,0.3232173,JE-TMA-41
JE-TMA-41_scene01_cell3586,0.21075788,0.052204076,0.21322754,0.8358903,0.20083533,0.98386896,0.53150165,0.78811264,0.5088177,1.0148567,0.30781144,1.7309889,0.009792365,15.467454,3.6493955,0.18528536,6.8105783,0.021716967,1.9587576,0.33137003,0.31112704,0.8705668,0.71638864,0.07963484,JE-TMA-41
JE-TMA-41_scene01_cell2125,0.18211997,0.9034955,0.25040376,1.8525339,0.77206165,6.3463693,0.85166335,1.2093346,0.6863285,1.5491198,0.40006074,0.2171062,0.1358956,0.09453402,0.00023172797,0.12210284,0.009944432,0.016765097,0.19242203,0.15466185,0.007922899,0.39282283,0.07603729,0.033625312,JE-TMA-41
JE-TMA-41_scene01_cell2449,0.18439502,1.0723487,0.14343122,1.8831469,0.59866625,5.633676,0.54533297,0.97746277,0.12784868,3.9930403,0.71616817,0.26803097,0.12523425,0.10489687,0.002869408,0.12324643,0.0093048,0.015626881,0.17948794,0.13746476,0.0059619765,0.38970867,0.05529655,0.04326955,JE-TMA-41
JE-TMA-41_scene01_cell2334,0.25549424,0.9375115,0.13932647,1.8018504,0.7446851,10.984103,1.0132982,1.1062428,0.23653312,3.3589334,0.49267513,0.13086027,0.119403444,0.10380096,0.0028555682,0.125462,0.011595555,0.019149734,0.18237163,0.2208766,0.006763759,0.50938916,0.1894382,0.22302379,JE-TMA-41
JE-TMA-41_scene01_cell122,0.18871328,0.521853,0.4395861,0.80465955,0.48096487,1.1994392,0.38391364,0.78569454,0.47807863,0.7640422,0.25770092,0.611951,0.02057168,0.095611215,0.0035335005,0.122944325,0.030524958,0.018434262,0.28198364,0.11829455,0.011314577,0.43816447,0.13640769,0.041297592,JE-TMA-41
JE-TMA-41_scene01_cell690,0.17558588,0.043466963,1.4612263,0.7366434,0.33803493,0.5598884,0.21497056,0.876858,0.22850402,0.87009066,0.4793973,0.6632857,0.0,0.09841936,0.0004783762,0.124212496,0.019020138,0.013725554,0.26387537,0.060800306,0.75769395,0.37172392,1.3758718,0.09265456,JE-TMA-41
JE-TMA-41_scene01_cell2688,0.19671035,0.74133843,0.18658274,0.8805358,0.3107746,1.6906053,0.2042886,0.745053,0.11181676,0.2727327,0.28477424,0.95185906,0.12863088,0.08398462,0.031244973,0.13475847,0.018816806,0.016387673,0.18006454,0.054270953,0.0073459977,0.36221796,0.10018667,0.1381571,JE-TMA-41
JE-TMA-41_scene01_cell1006,0.1572213,0.3070903,0.6919983,1.3155806,0.7242375,3.013374,0.54617226,1.01667,1.4511777,1.9491811,4.568383,0.6480525,0.0016065431,0.0969224,6.880796e-05,0.12411196,0.014635021,0.013787397,0.2538917,0.07379057,0.013562047,0.36375615,0.207889,0.06598588,JE-TMA-41
JE-TMA-41_scene01_cell1445,0.19712454,0.7379692,0.29133904,1.7347767,0.31364566,6.925259,0.7658935,1.2105473,0.13658918,0.7301663,0.686683,0.2302795,0.09820925,0.11022368,0.006489964,0.13229692,0.021496873,0.016133456,0.18926679,0.0715396,0.0017127038,0.36220682,0.14420453,0.073206015,JE-TMA-41
JE-TMA-41_scene01_cell1974,0.17830709,0.2082339,0.70683426,0.82606643,0.3687209,0.4457285,0.177703,0.9253195,0.34368786,0.5578244,0.2925181,0.083364,0.052635834,0.116872974,0.0029588395,0.12236983,0.024113014,0.020014238,0.18518728,0.15505487,0.51997113,0.38098657,0.46811476,0.19063364,JE-TMA-41
JE-TMA-41_scene01_cell3234,0.20033173,0.5922098,0.36248973,0.9531678,1.45265,2.2137554,0.902105,1.1353563,0.31193888,1.1802793,0.97320557,2.0700977,0.02890827,0.14958203,0.026728757,0.13239785,0.014384118,0.015617568,0.20368311,0.047463812,0.0011668076,0.5224371,0.08092056,0.06993305,JE-TMA-41
JE-TMA-41_scene01_cell1711,0.22397502,0.22394048,0.4493489,0.8026764,0.34014615,0.8377542,0.34872591,0.809315,0.1306035,0.33694297,0.43331185,0.27576843,0.07664244,0.116194874,0.015093395,0.12172789,0.018849382,0.013468187,0.17309193,0.119694926,0.0067240894,0.3615602,0.1127491,0.09858671,JE-TMA-41
JE-TMA-41_scene01_cell3402,0.22320701,0.56575686,0.44208634,1.065187,2.3219986,2.3021204,0.6252297,1.0525119,0.32024562,0.68260735,0.5946064,1.2420579,0.24790742,0.37685755,0.07602817,0.13322635,0.041640565,0.018616734,0.20578106,0.040255282,0.0012215003,0.3934207,0.10757628,0.10642556,JE-TMA-41
