,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell2718,0.0029561473,0.017088218,0.01738424,0.21721528,0.01415219,0.019303367,9.1262074e-05,0.0023304778,0.047142014,0.0010300097,0.008579577,9.693758e-05,0.00030169822,0.009311507,0.0125004295,0.01096317,0.0031592743,0.015831025,0.0012343571,0.011363675,0.0039198482,0.018301014,0.009410583,0.0008631633,JE-TMA-41
JE-TMA-41_scene01_cell968,0.016780043,0.01600163,0.0101389745,0.2344634,0.013212957,0.0107684005,0.03630088,0.015365737,0.014722103,0.19071516,0.023937268,0.0040292908,0.012251444,0.003087958,0.0027912636,0.012086205,0.00862036,0.016915694,0.002536175,0.0068403753,0.0007012675,0.0041254773,0.017395563,0.018048445,JE-TMA-41
JE-TMA-41_scene01_cell949,0.003726557,6.0298782e-05,0.015547668,0.31479773,0.0010074015,0.01456103,0.012146167,0.018507503,0.03081262,0.015556139,0.00038408814,0.007035214,0.006047082,0.0071588713,0.019389706,0.007103485,0.015244454,0.011727531,0.013712705,0.014415382,0.010569262,0.015866935,0.0032057303,0.00651991,JE-TMA-41
JE-TMA-41_scene01_cell2934,0.013253054,0.018115196,0.012022012,0.20007834,0.07687656,0.010652601,0.11160613,0.0003460836,0.1303524,0.0014120581,0.00051522563,0.016324297,0.017842935,0.012320497,0.0132235205,0.019335357,0.011796478,0.019754386,0.014564447,0.005600112,0.009347098,0.0003071507,0.011110549,0.012990662,JE-TMA-41
JE-TMA-41_scene01_cell1532,0.017855443,0.0045209415,0.011678497,0.12045365,0.025254423,0.01552175,0.062701374,0.005737113,0.04246193,0.17737214,0.060206342,0.015961235,0.019482918,0.0042379387,0.005661618,0.018276267,0.010368978,0.008320541,0.0015168204,0.017622948,0.007957019,0.007838223,0.019843688,0.0069895117,JE-TMA-41
JE-TMA-41_scene01_cell2218,0.006679106,0.014504212,0.017813789,0.02897509,0.35460693,0.03689379,0.40613702,0.009079899,0.11243543,0.0049855052,0.18191896,0.004298689,0.008737259,0.01764427,0.0073721493,0.009010333,0.019845106,0.014651911,0.016510196,0.01603354,0.0062137963,0.0046156137,0.018317696,0.0046236143,JE-TMA-41
JE-TMA-41_scene01_cell3597,0.0033379283,0.011927585,0.0055970885,0.05992519,0.0010451588,0.009494793,0.00015381734,0.0032988347,0.016956326,0.007027929,0.019537946,0.014449889,0.05311799,0.005682999,0.20157856,0.19379805,0.4263885,0.013635078,0.0072682817,0.0017168988,0.015726302,0.0009354092,0.0011625194,0.0072896946,JE-TMA-41
JE-TMA-41_scene01_cell112,0.0086703515,0.010771673,0.017278738,0.10351622,0.012376724,0.010527036,0.056242436,0.009825177,0.0026608198,0.042176336,0.00300127,0.0159154,0.0445303,0.0007234183,0.015696153,0.0028677245,0.015293489,0.018728802,0.019970186,0.019627,0.0068108463,0.009606769,0.0071461685,0.016888203,JE-TMA-41
JE-TMA-41_scene01_cell2293,0.0112960255,0.017669324,0.008448922,0.05452916,0.09713226,0.07824221,0.22556329,0.01770163,0.009542921,0.015975118,0.15522791,0.00080128515,0.01482509,0.01585068,0.01653958,0.007265207,0.0038939659,0.00085790217,0.014209741,0.016575601,0.016169418,0.0068330867,0.00069005537,0.006418464,JE-TMA-41
JE-TMA-41_scene01_cell856,0.009295629,0.013051761,0.0133618135,0.4555563,0.009852655,0.007589976,0.018153518,0.008574783,0.03615709,0.002127694,0.00027972145,0.023234861,0.0068306243,0.016563162,0.009906409,0.013700833,0.014514354,0.0140102245,0.013240433,0.014391408,0.0033922505,0.0066784094,0.0012965421,0.011291639,JE-TMA-41
