,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell02021,0.060361004101510095,0.13944110589508824,0.17987192565068238,0.07126012455708344,0.062265455159493964,0.6742229777145162,0.08318888033157094,0.35977218041995024,0.022151956424669376,0.3723151576785644,0.01813029993171095,0.2551867150771903,0.04815273745221789,0.07374353205254085,0.12454885698741971,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01338,0.8631388429010459,0.27824352052386897,0.3179827214016125,0.15179599070386154,0.09603620536439444,0.045519408634939175,0.12354557088054878,0.012021898521607708,0.01926777762152102,0.11850278011227346,0.027985202039311277,0.31233968785648986,0.27287498419294987,0.13768149901991758,0.18397098042486254,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00840,0.10106870258961449,0.13611321585239275,0.13062441625145713,0.07287906631311565,0.137047261702473,0.2599531899009546,0.1754894502168932,0.2960003414652734,0.02323520833935959,0.4091154150113989,0.10743199302943543,0.29381645384977956,0.06777045353061004,0.08619531499641325,0.1281906353466604,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00213,0.14615788155599072,0.13893210804867057,0.16458008575322022,0.09093236104460524,0.06958165663916921,0.04042071300147709,0.0870929790606346,0.007552662666560182,0.016570127240791262,0.13466654528505986,0.0127033803876232,0.33675258254804913,0.25029596569114076,0.7245926735862823,0.1870452578942742,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03145,0.13203296441232162,0.10512348074745186,0.1490327799652758,0.07060350755238999,0.051703345664596494,0.04159769674583516,0.07152165602127145,0.008628218847610343,0.008183627024930393,0.11017810165166864,0.011039125886168793,0.2563746288675887,0.11454567387091483,0.09091328639263978,0.13004268334675761,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05687,0.10605897118484615,0.18187021181922808,0.2082478981050994,0.09785592498615749,0.15685314829054464,0.38409927641110125,0.19026366835533756,0.549015922089957,0.03408256449824346,0.7629625193426083,0.1972172956959026,0.3428859514252159,0.09980252195521085,0.10700418920677021,0.1683127067755326,BM-Her2N75-18
BM-Her2N75-18_scene059_cell06259,0.07638286425529085,0.15520142234896936,0.19153336789158,0.08751995542794597,0.10213302148760367,0.5078774926330291,0.15040485456611768,0.6425996977333988,0.03189051307728606,0.7240429822550146,0.021953371017091286,0.32331172017878024,0.07589174304556681,0.07979836190486074,0.19249078333725556,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02527,0.19440228412914123,0.10645122963551423,0.17699440334416708,0.08574797600791098,0.059726396288725794,0.04354942436771809,0.07254974208991265,0.010112392150328477,0.013917496157791757,0.13563691768537883,0.009054731480890858,0.282595416371153,0.09487319939629807,0.2243889521619059,0.18789961226020344,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00962,0.13401467178656343,0.12271374157713992,0.1918124004111128,0.09432568844177563,0.05361687942309134,0.03692366506284745,0.07282524377038367,0.006550941887479839,0.015201819690650493,0.12351558626790733,0.009366653647670796,0.27549665969075343,0.10283894410315962,0.08271966079812575,0.14787828094765773,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04393,0.12793519757516197,0.21364171199303233,0.34957970159689417,0.18039584497876807,0.11182914981493243,0.11541669229697646,0.1608091515544382,0.08905122362169077,0.04922890598304475,0.25700632928184153,0.025291591354636607,0.3656666681755048,0.3638865280906782,0.2782420892124101,0.2151583281459601,BM-Her2N75-18
