,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell05136,3353.9568,495.9928,2308.9497,5050.6978,369.741,1683.0432,271.6187,716.35974,337.95685,526.482,1713.3624,1086.9425,2736.518,337.1141,1377.1812,1661.6309,1279.7123,1040.0647,1058.0647,1007.4899,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05272,2406.756,476.40488,1514.2439,1529.3463,335.79025,1393.5658,230.30731,762.4097,363.0,488.45364,1693.7955,1217.283,1448.5562,338.78812,1116.684,1696.9368,1240.1854,2722.7122,1399.044,826.13385,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05927,2291.388,652.1913,2130.6394,5411.481,320.306,1258.2458,251.93443,1611.8579,381.55737,1222.5792,1608.2462,2009.8524,1869.4263,331.2563,1038.613,1347.8945,1318.5574,2678.1367,970.03827,725.40204,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02838,2160.2266,591.3047,1783.5312,3291.0469,332.85156,1201.4297,198.29688,686.8281,331.54688,437.8125,1559.3667,1053.4766,1963.7734,332.27335,1044.7667,1199.4667,1370.8281,1000.5625,834.3594,770.84,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03176,4443.4614,1110.3462,3787.7307,1875.9615,398.34616,1474.2307,298.42307,644.11536,391.46155,440.03845,1635.8539,1013.5769,2214.077,347.9,1350.9539,1816.5308,1179.4615,1672.1923,1006.4231,1480.7076,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03919,2573.5542,522.9518,1422.9639,2886.253,579.1566,1900.9879,232.3494,701.36145,366.3735,434.13254,1524.3464,1085.7108,1175.9639,336.55,3189.7036,1562.7535,1259.3253,1659.3132,3771.6265,1116.7572,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05137,2521.691,484.89694,1853.8625,1877.7443,342.00763,1532.3245,374.74808,4658.466,516.38934,3907.164,3265.4524,2578.359,1695.8359,350.47485,1614.1843,1582.4749,1308.1985,705.37024,905.9389,689.8715,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03617,3260.8428,483.27142,1660.3,1862.5,408.32858,1852.6285,322.7,3046.8572,477.35715,3854.6714,3568.5486,2007.1,2106.9429,1359.3593,2109.7087,2533.971,1293.3286,872.24286,1228.3572,969.8835,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04299,1817.5504,477.94962,1491.3721,1883.3489,325.9845,1226.3566,206.17442,719.47675,364.6899,425.93024,1427.3134,1083.4147,1352.5426,333.07907,2656.5505,1421.6954,1205.6201,3759.159,1308.2635,668.9224,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00541,4371.278,473.71344,1448.3782,1779.4904,468.17136,2290.4785,307.62335,2725.046,373.579,3149.938,2942.038,2086.4358,3202.4993,347.02338,3833.4097,2299.7603,1226.353,2762.6145,1630.9453,1397.5227,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04973,5831.1987,495.35107,1781.3369,2422.3157,525.84045,2953.7837,397.5461,5970.5815,450.7837,6518.461,2599.736,3491.0461,3411.3333,397.65347,3658.7722,2738.1155,1410.1525,1297.1206,1553.2375,1271.0496,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04164,2430.533,470.60263,1660.2317,1732.7194,361.69492,1436.0433,267.53485,2874.0452,430.55933,2886.501,2143.2598,2465.3088,2156.8438,1298.56,2305.613,2433.726,1286.1826,697.4068,1070.2485,981.76855,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02803,3178.8662,475.65115,1584.564,2509.5466,1787.2965,4514.442,245.09883,743.4593,357.8721,504.30234,1592.5583,1090.0989,1136.3837,335.475,2157.9792,1727.7709,1221.3721,1723.5059,1066.4128,948.26666,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01030,4745.0356,499.02142,1677.6714,2117.2214,571.57855,2554.3787,326.42856,683.8571,455.6357,385.25714,1794.6624,1172.9572,1951.65,365.5065,3919.37,2531.0845,1368.45,4168.664,8454.636,1637.4286,BM-Her2N75-17
