,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene059_cell04822,0.9739277,1.6429597,2.3113713,0.23958679,0.08666821,0.3370727,0.4434723,0.31427684,0.91238296,0.8863588,0.6196251,0.9021548,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04090,2.2256813,1.8472,4.328455,0.23152582,0.08153683,0.31203955,0.3927775,0.29370093,1.0616884,0.6491645,0.54241747,0.72974944,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06018,1.7460462,0.97429186,1.7925787,0.22849457,0.093665056,0.29184863,0.41792178,0.2876878,0.8823475,1.6073674,0.5239155,0.5244025,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06366,0.51811355,0.7778065,0.83102864,4.000739,0.13077699,0.38564968,1.6780804,6.0035753,0.87702644,0.39168683,0.49950993,0.6796525,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04655,0.82882017,1.1019323,1.6476054,1.3820764,0.110337645,0.40799236,0.7713769,0.33690873,0.9392393,0.9122996,0.6728214,0.97666514,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04699,1.23875,0.72249264,0.7408495,0.24370325,0.08000974,0.30294734,0.43544152,0.29129177,0.84373885,1.2112931,2.4462018,0.726143,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04851,0.4954868,0.5240649,0.5521274,0.28352267,0.080585286,0.2693427,0.42329374,0.3267404,0.77993834,0.8241956,1.7705078,0.5054483,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03480,0.5706776,0.5532171,0.5907809,0.25122315,0.06313078,0.29044408,0.3439838,0.28050855,0.75554025,0.73025954,0.5063505,0.6366957,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05095,1.2932435,0.7104447,0.7578016,1.975148,1.654715,0.40009516,1.72959,0.35443893,0.8618013,0.72453713,1.377462,0.69714016,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06169,0.45727417,0.6152804,0.6475748,3.7497988,0.11603132,0.28392524,0.39355245,0.31140167,0.8039139,0.26443642,0.37645784,0.4803995,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05438,5.352321,0.6967594,0.9662028,0.22172609,0.07377987,0.31922096,0.36880377,0.2986691,0.8508239,3.6961799,0.7056642,0.72952414,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03093,0.53483826,0.45882413,0.44789732,0.26842424,0.0718736,0.25105038,0.4003193,0.2842678,0.7221558,0.63535756,0.4980319,0.37005135,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02642,0.5148856,0.51212645,0.6548999,0.24081105,0.07508925,0.33885965,0.42626825,0.30796117,0.8324113,0.96187294,0.64541024,0.79046947,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01058,0.6198863,0.669034,0.7194827,2.136213,0.11645851,0.39635587,1.3981242,0.46587455,0.87929285,0.41641852,0.541118,0.8201819,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01254,1.027933,0.7822623,0.69171894,0.25487438,0.0977749,0.29908267,0.38614634,0.31513616,0.81421065,0.40264857,0.82889825,0.6643949,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02693,0.59885913,0.56079656,0.6272707,0.30008137,0.08210509,0.2740903,0.40975103,0.30540636,0.8032815,1.0023644,0.5826489,0.52303034,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04641,1.598687,0.48282737,0.70309556,0.2177015,0.07156378,0.26831886,0.43549305,0.3907909,0.745925,0.4563603,3.820991,0.5669325,BM-Her2N75-17
