,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell06247,-0.3332984,-0.0444396,-0.17422275,1.8692939,0.002613465,-0.07983924,0.3015628,-0.19073042,-0.06606729,-0.33229116,-0.22182487,-0.17488089,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04869,-0.2996482,-0.13408892,-0.123243675,1.4696641,0.05389856,-0.19679947,-0.24229658,-0.30322185,-0.050933197,-0.119519,-0.22134106,-0.15547687,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01840,-0.042000752,-0.03747545,0.041503802,-0.6064416,-0.02752407,-0.17853333,-0.3822302,-0.23722136,-0.029324783,0.72211033,-0.24924143,-0.08698618,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01686,-0.28867325,-0.18459983,-0.11003588,-0.67797476,-0.020428082,-0.18738393,-0.3679312,-0.29808134,-0.021241141,0.32758975,-0.073163494,0.22430754,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05380,-0.32050526,-0.11406414,-0.18942313,0.8657078,-0.0033456658,-0.10988165,0.35945177,-0.15378007,-0.045108154,-0.3006212,-0.27403677,-0.16677648,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05346,-0.31762856,-0.06559907,-0.16758244,1.1919394,-0.002728184,0.0064980905,0.8359778,-0.24036819,-0.018812371,-0.31459603,-0.19057791,-0.0903567,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02798,-0.29960147,-0.030987605,-0.016017659,1.7835648,-0.005573613,0.02429562,0.30906355,0.49964213,0.023365604,-0.091326304,-0.05087112,0.10926408,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05916,-0.14204828,0.004133418,-0.33248022,-0.6697668,-0.023102408,-0.24596916,-0.37645513,-0.32658675,-0.14336784,1.1111513,0.20354559,-0.23928073,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02750,-0.30880427,-0.11749451,-0.26581702,-0.664805,-0.024714364,-0.25065696,-0.38407093,-0.31326872,-0.14595546,-0.025403505,-0.3686691,-0.22997531,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06144,-0.3205089,-0.04176472,-0.15210967,1.8185554,-0.0019934226,-0.042907156,0.55429125,-0.16287914,-0.02926053,-0.34746456,-0.27744684,-0.21790883,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06352,-0.30030334,-0.033317372,0.07053323,0.20942852,0.009751852,-0.09794832,0.05528587,-0.318887,0.23219787,-0.35857055,-0.3572151,-0.1198098,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02793,-0.119553365,0.06463499,-0.25186673,-0.633776,-0.021078488,-0.21578465,-0.3556684,-0.271251,-0.006734921,0.83305615,-0.12026231,-0.115058415,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03936,-0.302729,-0.123895034,-0.17481516,1.3410337,-0.0033941914,-0.13114627,0.67823935,-0.15166491,-0.06228949,-0.31516513,-0.24823193,-0.12095588,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04862,0.052554745,0.83533317,-0.048703894,-0.5999537,-0.013735597,-0.1845655,-0.31121817,-0.21368375,-0.020902945,0.7956465,-0.09056477,-0.041435353,BM-Her2N75-17
