,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene017_cell04196,0.5341122,0.62229246,0.8686807,0.6580503,0.53300804,0.96041113,0.6685806,2.037225,1.5720482,0.898568,0.32209584,0.99145025,0.30051282,0.42617923,0.50836194,BM-Her2N75-17
BM-Her2N75-17_scene017_cell03821,1.2101301,0.814587,0.6090119,0.8816654,0.6041741,0.27201557,0.69566387,0.4975141,0.44735098,0.7759728,0.3466811,0.8957112,0.85146105,0.93966776,0.80047715,BM-Her2N75-17
BM-Her2N75-17_scene017_cell03565,0.53579897,0.60358226,0.5689627,0.67603207,0.5585503,0.82638645,0.6419904,4.738052,0.96400034,0.8263225,0.33087978,0.87428534,0.40779412,0.5566874,0.58352304,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08626,0.6568315,0.57276654,0.5599305,0.58460724,0.6371169,1.68669,0.8585816,1.053589,1.3518955,0.6128451,0.32351592,0.8570748,0.3824879,0.54152477,0.5047696,BM-Her2N75-17
BM-Her2N75-17_scene017_cell04103,1.0615908,0.6603974,0.8666,1.1642938,0.7565167,0.2756305,0.72750413,0.4963403,0.4711269,0.57842237,0.35469842,0.93631965,0.6395778,0.68811256,0.9036942,BM-Her2N75-17
BM-Her2N75-17_scene017_cell00739,1.1055887,0.47194716,0.6627778,0.8384091,0.74746877,0.23603499,0.6749766,0.45015752,0.383817,1.113163,0.30947757,0.82550496,1.2077857,0.9176757,0.78409225,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05489,0.69657785,0.7357435,0.65457195,1.0895749,0.6024897,0.39359424,0.74841434,0.99513125,0.9844641,0.61687684,0.31833047,0.8146896,0.5274949,0.5966928,0.5522583,BM-Her2N75-17
BM-Her2N75-17_scene017_cell02287,0.8726323,0.5808967,0.9485433,0.8439048,0.6573535,0.3000051,0.6976803,0.49386784,0.50322807,0.5651968,1.2961948,0.94505763,0.8280601,0.9368544,0.90752345,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05099,0.6123204,0.4500185,0.49525386,0.48810455,0.477711,0.24837042,0.637026,0.36894834,0.41096017,0.54308176,0.29714194,0.7746829,0.57023853,0.4226971,0.49748182,BM-Her2N75-17
BM-Her2N75-17_scene017_cell04969,0.62596315,0.47564355,0.45223776,0.45825946,0.49788615,0.3022423,0.64397717,0.37644148,0.5909221,0.5502757,0.35439128,0.8080467,0.5222506,0.82709396,0.45012593,BM-Her2N75-17
