,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell03957,0.5855362,-0.0918597,-0.32632467,-0.16235083,-0.5619189,-0.085148625,-0.35526752,-0.4204386,-0.15376061,-0.42734835,-0.019271584,1.0959386,-0.06649386,-0.15945299,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01547,-0.050473765,-0.18380275,-0.25933436,-0.10993442,-0.53213716,-0.09849035,-0.3509398,-0.43722644,-0.12118976,-0.43322778,-0.11529073,-0.14509384,-0.01636934,-0.28255698,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01391,1.5824269,-0.08881706,-0.14469256,10.297368,1.4390712,4.981557,0.89011544,-0.32148376,0.47343597,-0.34755132,-0.032607887,-0.4171469,0.014596406,0.091763124,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00135,-0.3460838,0.08199626,-0.1199062,0.1865618,0.88163006,0.13853359,1.6816047,-0.2627125,1.1802963,0.4482834,0.06245121,-0.4645514,-0.15949416,-0.008164601,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00949,-0.38075417,-0.020619929,-0.21351959,-0.021185549,0.3315501,0.0077325176,0.6405092,-0.32329538,0.54511863,-0.31254557,-0.03435156,-0.5424231,-0.17451549,-0.106095806,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03365,-0.35768488,-0.20520598,-0.33929187,-0.29461524,-0.56204385,-0.17571124,-0.36557353,-0.44095817,-0.14154166,-0.43878308,-0.1314108,-0.3487594,-0.14661741,-0.30941156,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01444,-0.36453876,0.065400004,-0.045212228,0.1668959,1.6899712,0.13514763,1.9849356,-0.3167728,0.35468462,15.5124445,0.0436072,-0.44547564,-0.08194076,-0.061377183,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04664,-0.109288886,-0.17308515,-0.31185856,-0.16625151,-0.5523088,-0.122065656,-0.3590667,-0.40598723,-0.1412488,-0.41172266,-0.029295238,1.0322739,0.09968192,-0.040899888,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01032,0.17248116,1.8122399,-0.27772495,-0.017899664,-0.5545671,0.18752784,-0.35986826,-0.38640708,-0.1376837,-0.42750183,0.4451659,0.021710642,0.19867784,-0.20592456,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03240,-0.11980797,-0.04081607,-0.15893914,-0.031506747,-0.5519555,-0.042187802,-0.3497632,-0.37952024,-0.14614709,-0.44645187,0.039005067,1.6952043,0.37422132,0.03216867,BM-Her2N75-18
