,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell07874,0.4630854,0.4648636,0.59757376,0.4607591,1.7836872,0.41328058,0.79325473,2.7593465,0.4977159,0.44324762,0.72096926,0.26830772,0.44693345,0.46654734,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00563,3.4914875,0.48842883,0.6066638,0.4620118,0.22542974,0.40629777,0.042533964,0.59175026,0.22255719,0.5363139,0.74200577,0.86598754,0.5702,0.5815663,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03454,0.75339663,0.4264273,0.51226294,0.42232084,0.51205945,0.36049056,0.16451669,2.096178,0.27370316,0.45302516,0.6624565,0.32620448,0.6295208,0.5330393,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07993,0.5586914,0.6351279,1.21744,0.38645604,0.20090576,0.41640526,0.030498888,0.42446765,0.18180561,0.47736847,0.6913958,1.2562395,0.49416178,0.5766769,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00179,0.39859605,0.47332275,0.4997211,0.45201027,1.4428061,0.40708587,0.77951205,1.0662133,0.5228909,0.4809708,0.7005243,0.24850436,0.48642176,0.43441254,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00345,0.48888898,0.5365825,0.5868053,0.58221096,1.0772419,0.49014944,0.72804457,1.5938486,0.43470502,0.48589927,0.7620078,0.50650805,0.5038084,0.49930358,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04076,0.73642313,0.4814399,1.1077452,0.4292969,0.21121329,0.39542955,0.03068874,0.4594879,0.18813056,0.49745676,0.7217558,1.6688943,0.6701132,0.4980617,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07539,0.7337299,0.5587025,1.1386069,0.39954576,0.18309163,0.37203676,0.029765712,0.42369905,0.17583905,0.4361293,0.7877504,0.27622184,0.48893267,0.4954623,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07642,0.41458124,0.47965854,0.505173,0.4133935,1.1534685,0.4426019,1.0211779,0.78356355,0.53498566,5.0820255,0.71391976,0.23169973,0.41421437,0.41606352,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01683,0.7941162,0.43231437,0.51532626,0.42201135,0.18841848,0.3585632,0.033351317,0.53323513,0.18090725,0.462273,0.71045214,0.36681873,0.53687656,0.5642991,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02209,0.4300365,0.47229803,0.5081803,0.42200023,1.2736529,0.38921538,0.3874363,1.4611822,0.3722314,0.49016118,0.685406,0.23384763,0.50845695,0.41337037,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05949,0.63322574,0.5835787,0.52282166,0.39911634,0.21196866,0.37891784,0.03025499,0.42121866,0.19301027,0.45269352,0.67638505,0.30914453,0.4283068,0.5091929,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03080,0.41782844,0.44148952,0.5032499,0.41233763,0.8867384,0.37637496,0.48862243,1.3251146,0.3494367,0.441399,0.6558217,0.22884642,0.4630073,0.4086913,BM-Her2N75-18
