,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene07_cell5295,0.24739955344752085,0.20308527951201982,0.2331579342526803,0.7365431898152882,0.5592272039425035,0.42746727185036937,0.6229973940206962,0.47877814678251057,0.18536938163252228,0.49397554409027933,0.8067315595130197,0.05357879512429858,0.42306398708219356,JE-TMA-43
JE-TMA-43_scene07_cell573,0.04921276906706573,0.19086347917018487,0.07422872459209602,0.0650903190331489,0.20680235715980097,0.2848643186797652,0.05117771312616692,0.15965807894196682,0.14506103339207846,0.5002622995260958,0.1758242295382607,0.03735302575021747,0.4246558717575336,JE-TMA-43
JE-TMA-43_scene07_cell4985,1.175142327409673,0.24540347719678585,0.24583342199167693,0.15424493366134065,1.1381179797024297,0.14521660089850555,0.015870843346370112,0.02126325894280863,0.053259494163993365,0.5938425404370044,0.18033713247620173,0.4496616888762082,1.2459827910414656,JE-TMA-43
JE-TMA-43_scene07_cell5622,0.23222425892618442,0.30831099869825873,0.07648865260852733,0.29452227716880325,0.45559510771816414,0.10173348533229497,1.0377899337894392,0.20877689077290304,1.0857386116507406,1.1095930902962643,0.7436037453966594,0.35589726492116164,0.9556703426597438,JE-TMA-43
JE-TMA-43_scene07_cell5175,0.32328329963279795,0.5107008984327386,0.09399351502780519,1.0400456961396105,1.272773112340046,0.2502685642850446,0.012310701818798722,0.029333671730531242,0.050322953334398283,0.5184906049050665,0.23895901880159728,0.09566635763896648,0.41599180352485227,JE-TMA-43
JE-TMA-43_scene07_cell1368,0.13331557177176862,0.8230760897413203,1.1009598180613325,0.967973194867496,0.5274211462952055,1.1247032132983381,1.18400147588223,0.21537213531355764,0.22791077317603992,0.6329458129039527,0.5673352317283223,0.17813291753636773,0.6231725784669395,JE-TMA-43
JE-TMA-43_scene07_cell5092,0.14136986834299242,0.20821700637028093,0.05603177005193436,0.14788769194524137,0.18379239066277775,0.21963653425461518,1.750661326236516,1.809459119485342,1.4626083999173414,0.28438979095150313,1.0515269710769037,0.07447690524494736,0.5129236868150928,JE-TMA-43
JE-TMA-43_scene07_cell3257,1.197312398055551,0.46279990780422753,0.599699972066007,0.16876537275340298,1.8599695552471243,0.19379216055588985,0.03994997011323381,0.024312994083638254,0.05130671066081981,0.38905812823167046,0.2561561715667341,0.34500253266626324,0.5442878999032424,JE-TMA-43
JE-TMA-43_scene07_cell2317,0.31575634661057694,0.14321132282945798,0.09235269545389449,1.4888443572653265,0.442810704029047,0.3238217525816699,0.042782436290629666,0.02880955319019117,0.09022420965296664,1.0765412220243744,0.8078134403556758,0.15905624466216595,0.6569700672378073,JE-TMA-43
JE-TMA-43_scene07_cell5587,0.23387125362834765,1.0860639518200372,0.9110298759158433,0.6967436195231694,0.763067546811554,0.1628643743333152,1.9260204379398982,0.1926139139566259,1.3676421755122297,0.9863202972731733,0.7889748376465471,0.08198117480643886,0.8222547558399488,JE-TMA-43
JE-TMA-43_scene07_cell2275,0.5137390418278049,0.29361087812512704,0.3050822615577525,1.094546454110601,1.0228124329963386,0.23341515825803527,0.03673289653520193,0.038358194686618226,0.05298938964670565,0.44979608632849194,0.8015439627894051,0.11763170266696248,0.4284213043259605,JE-TMA-43
JE-TMA-43_scene07_cell3170,1.1477547031420456,0.30242883316527436,0.3763458010150147,0.2540240681456176,0.9305600292435328,1.7976808956444217,0.036241586180861214,0.022479288853009156,0.04338074638928494,0.4215184726018626,0.20274462041505384,0.41547059696788863,0.4463321303847581,JE-TMA-43
