,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei
BM-Her2N75-15_scene059_cell05055,2535.2280701754385,4159.228070175439,3172.6959064327484,2294.920077972709,446.812865497076,1251.6335282651073,526.2183235867446,641.7992202729043,747.3274853801172,243.0955165692008,1585.0531561461796,1292.4639376218324,1155.2962962962965,371.59468438538215,3084.3189368770763,1584.0498338870432,1351.5185185185185,1883.1520467836256,1061.608187134503,934.8787375415283
BM-Her2N75-15_scene059_cell04969,4055.3979238754328,1144.401384083045,2248.60553633218,2398.878892733564,624.8546712802768,2111.110726643599,1099.1038062283735,7318.346020761246,1523.809688581315,9390.325259515572,2185.596107055961,9478.200692041522,7680.114186851211,687.007299270073,3979.8661800486616,3620.493917274939,1598.8027681660901,1123.491349480969,1523.0173010380622,1253.1776155717762
BM-Her2N75-15_scene059_cell02076,3786.623243933589,4738.319284802044,2866.104725415071,3151.039591315453,828.1430395913153,2641.773946360153,753.6347381864623,1787.0613026819924,857.4469987228607,1268.4406130268198,1857.0897637795279,2156.749680715198,1935.4597701149426,424.7338582677165,5631.546456692912,2377.7984251968505,1535.5172413793102,1866.374201787995,2307.195402298851,1254.6771653543308
BM-Her2N75-15_scene059_cell02142,2771.7008196721313,3432.235655737705,1561.114754098361,1560.8176229508194,477.811475409836,1358.4446721311474,556.625,585.7069672131148,646.952868852459,235.03688524590163,1528.9360730593608,1401.829918032787,1332.6987704918033,363.8013698630137,1450.2351598173514,1537.9954337899546,1271.110655737705,880.8483606557378,1276.516393442623,1155.6392694063927
BM-Her2N75-15_scene059_cell05195,4308.992592592593,2508.925925925926,1817.666666666667,1834.6222222222225,595.3185185185185,2026.355555555556,727.162962962963,733.2148148148148,896.1777777777777,418.3481481481482,1751.34375,1561.4888888888888,1985.6148148148147,453.171875,7078.375,2112.3854166666665,1568.1037037037036,3929.096296296296,3026.4222222222224,1354.859375
BM-Her2N75-15_scene059_cell02997,3487.31914893617,1759.1968085106382,1526.1808510638296,1777.1170212765958,596.2659574468088,1525.5851063829791,546.1968085106382,638.6702127659574,645.5159574468088,269.37765957446805,1827.1486199575365,1268.9414893617022,1910.797872340425,382.88535031847135,1466.3227176220807,1916.0976645435244,1379.8510638297873,1303.6117021276596,1393.1329787234042,1477.1762208067942
BM-Her2N75-15_scene059_cell02521,1950.5869565217392,1525.840579710145,1380.0652173913047,1315.9347826086955,417.2318840579709,963.6086956521741,518.2608695652174,748.8260869565217,737.2971014492754,273.35507246376807,1609.3529411764707,1442.1521739130435,1266.768115942029,374.8754325259516,6078.318339100346,1676.9826989619378,1278.1159420289855,1665.6811594202895,3075.731884057971,1134.598615916955
BM-Her2N75-15_scene059_cell00831,3903.4076923076923,1890.9076923076925,1874.4538461538461,2258.4076923076927,658.6384615384616,2033.5769230769226,1868.692307692308,10527.453846153847,1950.0153846153848,7161.661538461541,2186.4011299435033,7043.50769230769,6204.892307692307,447.33333333333326,4980.587570621469,2181.2372881355927,1633.0846153846148,1169.7923076923078,1900.9076923076925,1384.0056497175146
BM-Her2N75-15_scene059_cell02536,4023.255555555556,1291.1444444444444,2048.231111111111,2397.7266666666665,630.3088888888889,2000.388888888889,1062.9755555555555,7575.862222222222,1359.648888888889,9072.797777777778,2187.884267631104,8708.728888888889,6077.828888888889,548.5135623869801,3375.244122965642,3022.3074141048824,1575.1155555555554,1150.4155555555556,1593.3622222222225,1315.5931283905968
BM-Her2N75-15_scene059_cell02373,3950.884615384615,1178.1043956043954,1796.8846153846155,1998.1373626373627,641.1428571428571,1851.5054945054944,903.0329670329672,6262.659340659341,1206.8791208791208,5966.082417582417,1906.0871559633026,6245.3076923076915,3392.6373626373625,432.1605504587156,5859.334862385321,2226.6422018348626,1604.543956043956,1151.9450549450548,1554.3076923076926,1349.4954128440368
