,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell01833,-0.21859808,-0.041824397,0.07180839,0.08731576,0.18397135,4.613347,0.9752063,-0.19171676,0.7741153,0.06663294,-0.36191124,-0.029243026,-0.052500486,-0.113427326,0.22624967,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03346,0.15287904,0.032075588,-0.04612125,-0.3349325,-0.2812141,-0.7183627,-0.17036214,-0.26582474,-0.43104643,-0.27265877,-0.32738304,-0.046964142,-0.25936604,-0.36411417,-0.11143712,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04030,-0.0116130235,-0.122514546,-0.10851241,-0.07937763,-0.095305264,-0.741194,-0.13312277,-0.27548504,-0.3538947,-0.31973672,-0.41205165,-0.10568264,1.2199941,0.28442568,-0.07984278,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05104,-0.083624646,-0.12392783,-0.05105151,-0.08151946,-0.045893252,2.7240162,-0.12864265,-0.2548314,-0.0094898855,-0.38925985,0.24885602,0.008332876,-0.17961353,-0.32186392,0.102235995,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04866,1.9113646,2.4584506,2.454989,-0.0099204555,-0.026346983,-0.71271926,-0.04755828,-0.24815628,-0.39083216,-0.37431931,-0.37419704,0.22084883,0.18074381,-0.22394328,-0.040852763,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00403,-0.24740599,-0.12774491,-0.047180127,-0.092277445,0.053253174,1.6896144,0.06526926,-0.23406544,0.63558424,0.30079144,-0.35608724,0.016980734,-0.18319839,-0.16643946,-0.029704012,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00034,-0.022213172,-0.13900357,-0.16086276,-0.15937033,-0.15138865,-0.7104086,-0.10493973,-0.26235443,-0.38399667,-0.28096598,-0.3188108,-0.063931316,-0.10168654,-0.14659183,-0.10575966,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01840,0.09537016,-0.20821422,-0.14165236,-0.07217846,-0.122624636,-0.7287858,-0.15981692,-0.23950285,-0.35686162,-0.12209408,-0.40091816,-0.10227254,0.07926953,0.7269571,0.18431428,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03532,0.9254586,1.7392226,-0.02711291,0.10456272,-0.19052556,-0.72113687,-0.14839625,-0.2481786,-0.4242554,-0.4122841,-0.41530424,0.06588963,0.07382041,-0.29039907,-0.14114878,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02888,-0.14892755,-0.11813271,0.061606932,-0.22050437,-0.16635078,-0.7453314,-0.19601658,-0.27816558,-0.43090954,-0.19887452,-0.42034444,-0.06909433,-0.16351205,-0.28920114,-0.026270904,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01318,1.6566484,1.828592,-0.188989,-0.2426548,-0.07006812,-0.72239584,-0.118441135,-0.26768103,-0.43139836,-0.39634848,-0.39188483,0.07737139,-0.1672877,-0.22531782,-0.13768598,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04873,0.11154495,0.12814981,-0.04267032,-0.25711653,-0.18296331,-0.68857574,-0.040325675,-0.23608837,-0.31752765,-0.41306108,0.02522309,-0.046477888,-0.077696264,-0.22879444,0.12425419,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03736,0.28024912,0.1570651,0.3840214,0.26701358,0.4579463,0.28537366,0.32770398,-0.07019788,2.149279,-0.274296,0.020031108,0.5368074,0.24671775,1.159131,0.60513085,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03948,0.43577844,-0.0298323,-0.14951254,0.11912527,0.015090583,-0.73681706,-0.08882657,-0.23922575,-0.40657145,-0.24426608,-0.39306158,0.006587353,0.37040454,0.024556233,0.09976467,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04007,-0.23703106,-0.11789942,-0.17644723,-0.18110386,-0.2434789,-0.7337232,-0.18426087,-0.28469953,-0.3902897,-0.27564394,-0.3109364,-0.06407288,0.16710591,-0.009457814,-0.20795262,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04887,-0.32302487,-0.12708127,-0.063979395,-0.20166284,-0.14228982,4.4384465,0.1752257,-0.26864326,-0.22827952,-0.36712402,-0.33580902,-0.050036166,-0.3530386,-0.3348794,-0.17911485,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00121,-0.19858898,0.00020492444,0.04001807,0.1062698,0.11511123,1.5321373,0.07080057,-0.16113517,0.63479257,1.1001424,-0.2939449,0.10695496,-0.10995144,-0.14181392,0.12554196,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01045,-0.26260582,-0.25007793,-0.23052497,-0.23207307,-0.25083837,-0.75442636,-0.21191993,-0.27626917,-0.43124577,0.027768089,-0.4442569,-0.10646966,-0.18938154,0.62411094,-0.13933083,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01547,0.14058618,1.7364861,-0.052145433,0.1677272,0.15262067,0.42588374,0.120610505,-0.19045687,0.27607834,0.2689436,4.239894,0.5557971,0.58938164,-0.12031762,-0.060267128,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04385,-0.23056872,0.016287807,0.009129932,-0.09961829,0.24392301,2.053991,0.38253173,-0.1736544,0.7398592,1.2200564,0.30840987,0.025613513,-0.22893116,-0.18990396,-0.03956268,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00714,-0.27265093,-0.2155984,-0.19040026,-0.20237681,-0.11578649,1.2836977,-0.06632534,-0.28435725,-0.28672934,-0.40595713,-0.39652526,-0.0364835,-0.2824161,-0.28154773,-0.17364207,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03020,-0.04535712,-0.16800928,0.20625155,0.62275964,0.018441258,-0.70719415,-0.20113787,0.12185836,-0.43759698,-0.12139134,-0.3819064,0.19745305,0.75749403,0.3818046,0.8011423,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01174,-0.28245875,-0.1958816,-0.2627744,-0.32335186,-0.16051841,0.046759814,-0.05601606,-0.28236353,-0.17379253,-0.4223535,-0.41068742,-0.10508892,-0.37943566,-0.33958322,-0.21356237,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04000,0.30405915,-0.13306487,-0.18848611,-0.16793409,-0.114293754,-0.7379198,-0.123224884,-0.2604869,-0.3747811,-0.18501322,-0.4082824,-0.036321733,0.21723723,0.064414695,-0.006130375,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04789,-0.25057924,0.092130244,0.08047717,-0.022202052,0.23117954,1.4782704,0.41895315,-0.16256317,1.1646962,0.78446037,-0.25939882,0.080238014,-0.1874885,-0.18415423,0.00067170727,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01164,1.1893867,-0.07897216,0.0063438914,-0.011271931,-0.10610014,-0.7393339,-0.16237417,-0.24373636,-0.31879583,-0.0767384,-0.41594622,0.018432584,0.072163165,2.0967085,0.044305764,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02457,0.60879594,0.54119426,0.52100074,-0.2747675,-0.25462773,-0.71231776,-0.18411946,-0.26481217,-0.4090559,-0.35505134,-0.4278526,-0.021702264,-0.34394684,-0.32848224,-0.25555313,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05138,-0.33960387,-0.04031163,-0.098157056,-0.20643717,-0.15311807,0.80835223,-0.09542498,-0.25685266,-0.31314513,-0.40211096,-0.40187788,-0.054526005,-0.33891645,-0.34021252,-0.06117318,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04278,-0.09371178,-0.21147364,-0.24769412,-0.29327956,-0.05862665,-0.7315211,-0.10006693,-0.2837533,-0.3639647,-0.32546008,-0.4256852,-0.11017725,0.28480822,-0.3134856,-0.17450896,BM-Her2N75-15
