,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-43_scene11_cell2450,6.3307595,0.34700048,0.7484559,1.0582285,1.3765974,0.55467105,0.6568626,1.021498,0.439764,1.3765931,0.84002584,0.4452591,0.0,0.8337661,1.0393842,1.2103167,0.64298606,3.0287864,0.54947096,0.5385776,16.127956,1.166264,3.1500428,1.1002115,JE-TMA-43
JE-TMA-43_scene11_cell777,8.70937,0.39574337,0.72265935,1.0101109,1.4647635,0.4893805,0.61675316,0.9679798,0.5468368,0.57667917,0.50106514,0.30566952,0.0,0.78655696,1.043282,1.3910141,0.8915063,3.079128,0.49843338,0.46692616,9.435841,1.9013926,3.5511262,0.9393727,JE-TMA-43
JE-TMA-43_scene11_cell488,6.818618,0.17469674,0.7196799,1.0147505,0.9886556,0.5529316,0.6354096,0.9763236,0.11885508,0.0,0.1577174,0.014724974,0.0,0.7150977,0.76727057,1.3536228,0.82317716,2.3486826,0.5177016,0.4111902,1.148698,1.3131725,1.9598225,0.81534225,JE-TMA-43
JE-TMA-43_scene11_cell1567,15.167741,0.4318619,0.74805415,1.0220125,0.15452498,0.6195847,0.6588673,1.0508981,0.77903396,0.07098336,1.219437,0.26968393,0.0,0.9214506,0.13671976,1.2961116,1.0065287,4.510661,0.5266544,0.21761219,8.779707,1.4406891,1.7710657,1.2823882,JE-TMA-43
JE-TMA-43_scene11_cell1085,10.643608,0.49348015,0.72456187,0.99895334,1.5583383,0.49125624,0.6210287,0.98273766,0.511769,0.19115369,0.5031444,0.20306125,0.0,0.7494127,1.3705231,1.461967,0.8081833,4.1225505,0.5027225,0.43661073,4.0906186,1.3961428,2.9927108,0.94217795,JE-TMA-43
JE-TMA-43_scene11_cell1653,6.4983616,0.26395032,0.71960425,1.0250697,1.7909414,0.5147455,0.70357984,0.98787546,0.43763316,0.072977096,1.2997034,0.5861755,0.0,0.7256075,0.92083883,1.3080392,0.8131495,3.1160793,0.5109545,0.5459769,0.7580688,1.8022218,1.1125736,1.2309669,JE-TMA-43
JE-TMA-43_scene11_cell1927,14.858438,0.43138954,0.73976374,1.0348161,0.91848236,0.62504244,0.66592973,1.0145031,1.0345099,0.042231925,1.0050023,0.9228443,0.0,0.7963979,0.8271663,1.7251449,0.86844856,4.6500597,0.5284282,0.69571024,3.0797799,2.3123724,4.446701,1.2074151,JE-TMA-43
JE-TMA-43_scene11_cell1522,11.916067,0.54538226,0.72233766,0.98171043,1.3567407,0.3760171,0.61270076,0.93645924,0.41203424,0.0005645737,0.8038906,0.19028777,0.0,0.71922535,1.2034417,5.627144,0.6488647,7.1904826,0.5029046,0.6110026,1.6596007,0.96452343,0.81261885,0.7805521,JE-TMA-43
JE-TMA-43_scene11_cell2047,2.2308114,0.5977067,0.7342637,1.0196886,1.0860994,0.6489443,0.6895784,0.9860934,0.5835278,1.3941534,0.6610982,0.5168913,0.0,0.70767003,1.6099399,2.9019978,0.8550525,5.990625,0.5090515,0.88870734,21.85847,1.7530675,12.309912,1.3056512,JE-TMA-43
JE-TMA-43_scene11_cell2200,7.987151,0.2717679,0.7544202,1.0656688,1.5351425,0.47146627,0.6590122,1.0233082,0.2443126,0.32010552,0.548204,0.37747982,0.0,0.7991988,0.7955607,1.1900275,0.6849956,2.1203165,0.52374995,0.7609562,0.83127505,1.2945417,2.1094975,1.0675988,JE-TMA-43
JE-TMA-43_scene11_cell261,13.347987,1.0940734,0.7379824,1.0183867,0.8598633,0.40302134,0.69167453,0.9829546,0.9928254,0.17253372,0.28347582,0.8359051,0.0,0.76786,1.6334105,6.7355614,1.4150954,13.970913,0.5289019,0.50658315,6.9251223,1.5870423,0.64190274,1.156467,JE-TMA-43
