,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell00056,-1816.9863,771.4772,1770.8964,-613.73944,-280.63522,-213.08264,-264.1649,-1670.8953,-171.19576,-1795.737,-1513.7504,-1348.0696,-1366.6631,-387.55338,-1335.7361,-834.2078,32.062675,-142.45291,-512.49506,-456.76962,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01543,584.80725,-755.3707,-252.3974,-70.749954,38.841892,36.740356,150.53514,5266.0464,226.7293,2373.9048,-1154.631,1217.4241,-702.8486,-331.20798,396.37772,46.75652,-52.00605,-297.52786,-433.41586,352.38327,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01352,-1123.7526,451.78476,303.24628,79.142624,-194.42297,-687.2649,-124.67842,-1658.8708,-132.74312,-1726.6726,-1485.5385,-1270.5182,-809.50555,-369.9357,-1237.9131,-439.94708,-118.43427,-179.55899,4178.3706,-326.56607,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01682,-554.6913,2491.2112,2307.1555,1785.9536,-43.94943,-71.57019,-29.283587,-1644.9115,-156.68044,-1718.0903,-1514.5851,-1501.9216,-1094.0802,-391.43866,-1296.5076,-567.7952,113.153984,344.35556,-116.45687,-414.15933,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02833,-1052.954,-316.83585,-610.7161,-631.4002,-239.2291,-780.9806,-169.72517,-1723.5455,-182.83546,-1754.3168,-1607.583,-1189.9409,-835.60846,-374.75854,1089.7156,-434.93744,-119.19831,80.494225,-383.5482,-206.1362,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00051,688.8849,-196.23697,124.53546,310.17584,-88.26724,309.53406,789.03894,2642.3574,270.82355,4336.0195,-632.3828,6637.5103,5813.5044,2409.1743,1180.3557,1275.2888,102.22613,-226.5214,-266.05527,222.71432,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01124,940.8673,12884.593,-118.47089,-106.16548,6.2198825,185.13171,7318.8115,720.60254,5307.352,403.1234,-1195.4305,1291.344,1493.8135,-350.90897,2538.5417,202.20097,150.96977,-41.05033,392.22842,335.28635,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01903,3243.0808,-327.65067,-312.08344,-95.472244,33.974705,572.06995,-115.78786,-1704.1008,-322.7105,-1706.9807,-1199.4712,-1590.4541,143.65474,-361.8201,-1040.9657,719.5572,-128.21529,557.5396,8707.718,742.6608,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00666,346.67102,-477.01382,1049.4308,88.54936,-120.75729,250.04211,-180.17702,-1701.4854,-239.86061,-1775.1989,-1311.5458,-1375.354,718.07904,-388.3248,-1315.8129,-412.48126,-2.1502151,-349.38193,1171.454,-32.801796,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01725,-1841.6191,807.5421,819.85297,-732.014,-279.12558,-611.1107,-229.75963,-1668.947,-221.74837,-1765.9915,-1423.5715,-1473.5894,-975.06537,-390.37015,-1343.6183,-653.87445,-179.93074,-719.0147,-706.16254,-433.0884,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02735,-484.24426,-208.121,-430.48773,-241.31526,-176.6047,-416.17664,-35.067707,-1714.7374,-78.862434,-1734.6191,-1589.8365,-1310.0154,-1075.0984,-335.25797,1273.3137,41.757862,-5.2305374,592.15765,13.071936,-48.670082,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04154,81.55847,-982.46967,135.95514,173.03471,-97.318695,-14.300171,238.84013,3388.7632,370.32196,2805.3354,-1352.2421,624.2002,2439.4504,-295.25253,1388.873,632.7271,48.04766,-395.6785,-376.03806,-126.96183,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00471,-1711.6575,251.98642,-64.01593,-72.72957,-268.7215,-1011.94696,-221.60222,-1685.0754,-146.17043,-1773.5546,-1646.0009,-1233.6187,-1339.3706,-390.07416,2029.6057,-644.2469,-18.831367,-214.4899,1461.7179,-365.31516,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03085,-337.17273,-977.43945,-591.267,-742.36005,-309.9634,-664.3506,-266.07645,-1694.144,-311.2611,-1767.632,-1479.4719,-1652.7638,-144.82793,-426.18115,1192.7458,-462.35797,-152.98921,-191.12405,-920.31683,-258.94638,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01294,320.69885,-821.9845,-75.56183,22.991991,-70.502716,-87.73389,196.468,3151.9448,147.07219,178.64929,-848.04346,8789.438,4436.5664,-314.83533,2075.0544,115.46636,-41.607857,-337.8345,-453.90927,136.64206,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02066,-1213.9689,-858.6925,-302.44843,-267.5584,-93.77786,-619.12244,-52.57674,3650.1982,169.89586,5001.363,-1428.677,2259.0457,-708.998,-368.13455,2533.3713,-521.91974,-92.97639,-529.3065,-875.32184,-269.7734,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04920,-42.671753,-861.54346,224.11176,319.4969,-113.31418,-29.667725,276.33902,7337.428,773.6464,6333.9473,-1065.0413,4582.6978,2767.8337,6395.1626,2592.033,4773.2046,200.57146,-364.80417,-577.22174,37.30587,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02541,329.92957,-653.53613,-120.92706,143.63359,-103.48691,-140.33899,218.65923,9454.242,357.20526,6162.347,-1132.3427,4989.7544,2784.2937,-330.42102,2626.387,-142.42659,21.718193,-257.4695,-472.20175,31.15316,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02238,-178.72571,-858.9734,36.577816,182.65019,-92.177704,-157.03687,171.02702,5884.401,367.36884,10866.779,-1244.4982,2528.9895,496.83395,-351.45807,557.2188,-182.2231,5.1456833,-370.644,-677.1235,-83.56168,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04009,-1535.3115,1040.7328,543.4028,833.07794,-256.77118,-864.4862,-268.89917,-1733.2169,-219.44447,-1799.0641,-1597.8937,-1468.0753,-1270.252,-272.62457,1087.2837,-296.65912,-154.11433,330.2285,-871.78546,-290.71347,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03563,-805.7411,62.29587,-6.4231606,119.685104,-243.07849,-686.787,-170.71577,-1721.4663,-176.11317,-1746.7103,-1683.4607,-1496.9882,-1032.545,-398.59534,-1313.0935,-625.1098,-71.789375,184.45383,-738.23517,-318.12094,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04607,-587.66125,-1093.9895,113.3714,534.04376,-239.8519,-290.6659,79.78514,9794.671,279.0042,9903.4795,-1282.8375,147.90552,-297.20486,-325.25485,3283.1804,-186.165,-8.612373,-496.4279,-720.2784,-61.54496,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03674,-469.80896,1522.4266,-44.09284,221.24004,-180.99414,-409.44995,-141.64699,-1765.4917,-155.00594,-1762.4889,-1518.5366,-1369.0502,-1104.463,-361.72192,1850.0505,-85.33454,-7.793648,1210.4348,1775.6447,-78.18131,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03187,-618.5841,377.37534,-196.00226,-354.53156,-266.13434,-545.1852,-267.5184,-1679.6182,-260.60803,-1752.9696,-1396.5762,-1476.6156,-378.00833,-418.07227,1016.4527,-204.85591,-4.3299026,48.96334,-822.45197,-163.51321,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05221,-723.3082,1492.0739,-81.4776,124.12334,-81.96823,-386.03735,-46.55367,-1608.6144,-11.930431,-1647.6367,-1291.0886,-1064.8987,-1055.615,-320.60538,2469.2522,153.48808,89.60601,100.69662,-498.7335,120.670616,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04694,354.75745,-871.36206,107.30524,504.07867,-102.41458,100.12073,200.10759,14276.921,1018.5793,10781.729,-1172.4637,2250.5369,-129.78447,1288.1296,3718.4094,584.252,188.49065,-300.42166,-526.92194,117.441246,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03451,-2425.021,1192.8405,158.56317,-922.35614,-339.59067,-1038.5854,-353.784,-1768.7339,-254.35316,-1814.8,-1674.4475,-1407.1902,-1405.1995,-418.75623,-1207.1708,-783.2933,-213.74385,-649.0906,-1101.0979,-474.06052,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04675,380.96008,-826.3395,-5.2858315,496.32233,-69.67331,10.348389,154.37798,19047.436,994.2614,12099.309,-953.23145,3478.8625,291.2595,-274.5767,347.2073,132.6624,87.43047,-308.87784,-519.3355,294.9863,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05201,-126.55261,-1117.77,-393.69464,-433.45782,-145.94443,-294.2025,-149.27046,1440.9412,-201.31819,-1537.9117,-1411.5398,782.2639,-1369.0985,-377.25653,-510.34103,-282.70172,-57.088203,-423.949,-798.57794,66.12069,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00571,-858.49817,779.56995,-586.5826,-743.27277,-247.36758,-770.05664,-222.23253,-1714.2968,-210.9482,-1773.7101,-1569.6191,-1394.795,-776.97003,-395.78708,-1093.4882,-723.1391,-100.84174,-210.00089,1197.1908,-294.59982,BM-Her2N75-15
