,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene07_cell2324,0.39503917,0.08906427,4.02811,0.8853093,0.36491138,1.8851938,0.19534367,1.1972271,0.22789475,0.75149196,3.2727163,0.50963396,0.0071513504,0.09124504,0.00090690673,0.15408999,0.009973417,0.013729716,0.08587269,0.007155546,0.5749014,0.39696243,0.34837195,0.066215836,JE-TMA-41
JE-TMA-41_scene07_cell3150,0.45240733,0.24233967,4.23908,1.115222,0.5416796,2.4840047,0.48372135,1.5079007,0.2078018,0.94302577,3.4306195,1.5627952,0.017728727,0.79139864,0.079714455,0.1740449,0.460843,0.013707453,0.113310486,0.022693705,0.11225302,0.488567,0.34166408,0.026752042,JE-TMA-41
JE-TMA-41_scene07_cell1088,0.5446121,0.15327136,1.8172842,0.6945067,4.239542,0.4704324,0.30019638,0.73032707,0.8080299,0.85725236,0.6261151,0.25875592,0.014359931,1.0636686,0.24506278,1.2665473,0.95588,0.35044318,0.6094498,0.031859886,0.015410659,0.36781737,0.1511354,0.19142075,JE-TMA-41
JE-TMA-41_scene07_cell455,0.5331559,0.16930637,0.26278728,0.8796266,0.406287,0.32224914,0.36723092,0.63362145,0.48566985,1.2062517,0.55264646,1.2201402,0.010916342,5.431176,1.8215474,0.15031795,3.2552972,0.014596153,0.43450436,0.030829722,0.7259636,0.6185739,0.631783,0.17075391,JE-TMA-41
JE-TMA-41_scene07_cell2525,0.37870547,1.4622633,2.6530333,0.66330343,0.41786966,0.9214713,0.2609459,0.9249403,2.9556313,0.665075,0.42667416,0.4243005,0.1743496,0.08473303,0.00082152785,0.15292661,0.004758226,0.0138259,0.086366415,0.009488953,1.264373,0.37791622,0.40822256,0.5121244,JE-TMA-41
JE-TMA-41_scene07_cell3286,0.39263368,0.013554695,0.4111429,0.69672906,0.155299,0.40224114,0.82561576,0.63897514,0.30872548,0.66473985,0.64885616,0.4118137,0.0030961868,10.848024,0.9149182,0.44697937,5.099933,0.032848183,0.56214947,0.04953555,0.048139792,0.61138403,0.19046898,1.84966,JE-TMA-41
JE-TMA-41_scene07_cell505,0.47309905,0.110788405,0.5947699,0.6557508,1.5730555,0.6375898,0.12607513,0.64964586,2.2520616,0.7667853,0.16329339,0.99666315,0.2549767,0.6226174,0.726316,0.7829733,1.3804358,0.08056886,0.29607397,0.0059949555,0.013619922,0.37821686,0.26640218,0.019891871,JE-TMA-41
JE-TMA-41_scene07_cell1162,0.44178602,0.013667531,0.33747748,0.6733952,0.32929203,0.33307353,0.13245192,0.58867013,0.37075227,0.64880824,0.3326403,0.0060433634,0.0001832501,2.5143538,0.45754826,1.0328122,1.570034,0.18711758,0.3430265,0.02329452,0.008301644,0.73285955,0.025580712,0.0027214063,JE-TMA-41
JE-TMA-41_scene07_cell2734,0.40611646,0.44648048,2.3602877,0.783587,0.5894478,0.9159538,0.35652298,0.9999216,0.24851075,0.55539876,2.487749,1.1509695,0.14038752,0.1287696,0.008363748,0.14720559,0.016928734,0.020029012,0.07713257,0.0030916496,0.047433738,0.39945754,0.084608875,0.27134395,JE-TMA-41
JE-TMA-41_scene07_cell3464,0.39137235,0.74875057,1.201932,1.1099637,0.9397628,1.7511812,0.6331824,1.0665932,0.41112432,2.3712504,1.0698452,1.2136097,0.067342535,1.4845089,0.25651067,0.15419774,0.87156814,0.013088039,0.13419771,0.00719448,0.006467561,0.37946156,0.044502452,0.082722746,JE-TMA-41
JE-TMA-41_scene07_cell1293,0.3790803,0.0066257906,0.3074469,0.6820808,0.12695666,0.26845855,0.06378894,0.52255666,0.3991766,0.5890116,0.36927688,0.0019104524,0.006141703,0.3350332,0.1018585,0.1707161,0.17162353,0.018205969,0.14659545,0.015075912,0.011360955,0.58373094,0.03689101,0.011997605,JE-TMA-41
JE-TMA-41_scene07_cell3406,0.41697118,0.36597446,0.868237,0.99399394,0.43114486,2.1251342,0.8495408,0.94905955,0.26533943,0.9152689,0.8131361,2.455454,0.026327431,4.353292,0.5583344,0.20086153,2.0562696,0.012489501,0.23775497,0.033074606,0.019837761,0.4221178,0.1425377,1.7278336,JE-TMA-41
JE-TMA-41_scene07_cell1003,0.43245092,0.5213201,0.57851213,0.65228033,0.31731266,0.33002272,0.101419695,0.6004184,1.0900599,0.8436678,0.27531314,0.013749986,0.0052070958,0.5917396,0.29262155,0.31616497,0.43231437,0.048961718,0.14160219,0.023811463,0.05058087,0.36436358,0.115473084,0.10894892,JE-TMA-41
JE-TMA-41_scene07_cell625,0.49237525,0.017817903,0.27201352,0.6337572,0.3432021,0.29760638,0.23934667,0.5933853,1.7940161,1.0394194,0.21415567,0.15428457,0.030832332,4.267275,0.9680073,0.1909725,4.4018025,0.01681144,0.776653,0.022119557,0.013861535,0.636748,0.094534636,0.185404,JE-TMA-41
JE-TMA-41_scene07_cell3058,0.30820766,0.13408007,2.3655684,0.8031687,0.33808315,1.7241857,0.35617855,1.2533784,0.11999062,0.8936929,2.3195114,2.0943735,0.0053938366,0.23026289,0.0003775053,0.14658745,0.003382748,0.010799985,0.0803382,0.0016339743,0.050580844,0.45165703,0.09073329,0.008206622,JE-TMA-41
JE-TMA-41_scene07_cell1167,0.51046056,1.5510976,0.61033535,0.64592105,0.42145288,0.34602237,0.51910293,0.6085453,2.1398065,0.7157917,0.16392,0.0036059087,0.097915046,0.09261578,0.09330442,0.15159144,0.015722662,0.014758516,0.09050479,0.017105732,0.026098968,0.3813601,0.010944926,0.002705398,JE-TMA-41
JE-TMA-41_scene07_cell339,0.57045823,0.6246683,0.26056916,0.70314294,0.49107793,0.35611203,0.3220241,0.6782156,1.480489,0.9568152,0.2312204,0.7700806,0.052047793,5.814512,1.8850181,0.1638398,3.2906737,0.014363477,0.3459249,0.026881015,0.078856766,0.41698572,0.38634023,0.14546894,JE-TMA-41
JE-TMA-41_scene07_cell41,0.47388726,1.9374204,0.37829477,0.6532156,0.59517944,1.0992526,0.3273031,0.69476634,1.829829,0.799285,0.14667764,2.77527,0.18895069,0.41428757,0.15433164,0.15413001,0.04153967,0.012406691,0.08501633,0.019644452,0.00064124836,0.8628274,0.0654194,0.012735095,JE-TMA-41
JE-TMA-41_scene07_cell2257,0.36195123,1.2885674,1.4588757,1.1716638,0.4187121,3.5972142,0.49564865,1.375571,0.6915859,0.8736666,10.312477,3.5029514,0.16699827,0.09622332,0.0032684228,0.15909082,0.008461548,0.016061412,0.09634489,0.007390462,0.036885027,0.41946694,0.11048588,0.07575148,JE-TMA-41
JE-TMA-41_scene07_cell2771,0.20567203,0.13070534,4.589007,0.7462689,0.39685118,1.5200688,0.2937488,0.8061171,0.21549027,0.82922393,1.3152852,1.3101171,0.00058353815,0.108015336,6.860937e-05,0.1572365,0.002699625,0.013856927,0.090134434,0.0017519487,0.66096956,0.38380668,0.1378238,0.11015154,JE-TMA-41
JE-TMA-41_scene07_cell120,0.60945374,0.10308982,0.50891775,0.8296126,0.2251971,0.34308007,0.20927434,0.6475778,0.56920147,1.7833133,0.025484527,0.27276474,0.0012511525,2.8296547,0.5797659,0.21949175,3.2470298,0.033679377,0.6436567,0.08886315,0.030605508,0.7773984,0.26452076,0.2286346,JE-TMA-41
JE-TMA-41_scene07_cell872,0.35319257,0.04553512,0.43376034,0.65146935,0.3755018,0.32882434,0.10344206,0.635978,3.2010126,1.3086969,0.035793662,0.015407432,0.00066875335,0.18769255,0.5442942,0.1987525,0.06569922,0.027253222,0.15812689,0.013634596,0.20077705,0.39898124,0.020899223,0.0044778697,JE-TMA-41
JE-TMA-41_scene07_cell3096,0.3808983,0.6882957,0.92344916,0.74354523,0.96517,0.6196873,0.72817194,0.903601,0.36689284,0.7801227,0.8049942,4.1810427,0.07418403,0.28246272,0.00035048815,0.14538668,0.0022647693,0.012379326,0.08319807,0.01167697,0.0036751556,0.47499636,0.10124855,0.08779717,JE-TMA-41
JE-TMA-41_scene07_cell3187,0.41518384,1.0103956,1.5736101,0.6673582,2.046004,0.36974674,0.67547166,1.0150808,0.42794168,0.79517204,0.40125448,5.0347185,0.2157117,0.32460174,0.003748819,0.14609891,0.006114369,0.012586898,0.08496417,0.0077871527,0.00514718,0.3977798,0.06773415,0.08389377,JE-TMA-41
JE-TMA-41_scene07_cell2413,0.4051743,0.31983083,4.0027537,0.7582842,0.74201494,0.965549,0.32430443,1.3525571,0.31143576,1.0310951,2.178311,1.732838,0.027730605,0.096121795,2.5328245e-05,0.14297651,0.002879566,0.016663581,0.088991314,0.0029018626,0.092811,0.4506196,0.29766205,0.051944852,JE-TMA-41
JE-TMA-41_scene07_cell3147,0.41795945,0.39597076,1.6686566,1.0661957,0.43926364,2.485996,0.45197815,0.97200984,0.13936551,0.84837455,0.7487675,2.9867258,0.007979378,3.511783,0.56940466,0.22683841,1.9777011,0.014052352,0.2068272,0.011810865,0.010343647,0.40637043,0.12132802,0.056048762,JE-TMA-41
JE-TMA-41_scene07_cell194,0.38571778,0.20383416,0.8649015,1.1149186,0.19474825,1.4920869,0.16317637,0.74498284,0.8863718,0.3624375,2.2395155,1.2619514,0.06419458,0.38694015,0.1303011,0.14300585,0.060198326,0.013810345,0.07956242,0.01388747,0.049309134,0.37536538,0.03256503,0.12916769,JE-TMA-41
JE-TMA-41_scene07_cell474,0.5614856,0.04137991,0.26936135,0.66741467,0.34472743,0.7377087,0.42942408,0.70713013,1.376729,1.4435306,0.64877784,0.12948819,0.14287594,5.594827,1.1256316,0.15398495,6.1525984,0.020557193,1.1026914,0.03132868,0.13604479,0.7132218,0.31736052,0.08230938,JE-TMA-41
JE-TMA-41_scene07_cell2596,0.3567454,0.13783824,5.1471524,0.68669707,0.3670995,0.6269854,0.1510682,1.252658,0.3287939,0.7630079,0.67804384,1.1149824,0.004188617,0.089271165,0.0001329467,0.15265016,0.001887037,0.013292942,0.09196358,0.0153343165,0.3160234,0.40142557,0.2789295,0.06839825,JE-TMA-41
JE-TMA-41_scene07_cell924,0.36310616,0.0021378535,0.36317986,0.7059002,0.2711125,0.39056125,0.12502763,0.64126694,0.50519276,0.89604336,0.47855142,0.009329141,0.0,2.0602186,0.81771636,0.17815527,2.2558212,0.022102885,0.30899355,0.022258632,0.008766227,0.6643669,0.0038009142,0.016769229,JE-TMA-41
