,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene11_cell1239,16.64611,-2.1659036,-1.1132808,-0.1098691,-3.1651716,-3.7560494,-0.7412322,-0.1868308,-1.3978636,-4.495417,-1.7351583,-1.8815356,-1390.977,-2.209644,-1.5745801,-0.49535298,-1.857618,0.6374397,-1.4105779,-1.1679822,-3.222948,0.14537346,0.9398516,-0.45641568,JE-TMA-43
JE-TMA-43_scene11_cell174,7.2666187,-2.12913,-1.1457627,-0.13743481,-3.2269194,-4.005825,-0.7197314,-0.22292243,-1.4704703,-4.690126,4.2151504,-2.0359437,-1390.977,-2.3579085,-1.4013215,-0.17693233,-1.6084766,0.9090502,-1.443698,-1.0876977,6.266763,0.48471797,2.380632,-0.1877475,JE-TMA-43
JE-TMA-43_scene11_cell246,3.036725,-2.3539166,-1.1687243,-0.16219339,-2.929134,-4.0352883,-0.79372644,-0.28250378,-2.0956235,-4.756314,-1.8881142,-2.5538862,-1390.977,-2.3830857,-1.6268157,-1.5623393,-2.0912864,-1.1929334,-1.4638827,-1.1575885,21.036354,-0.16378427,3.6132278,-0.6601224,JE-TMA-43
JE-TMA-43_scene11_cell597,3.2326407,-2.1254241,-1.1522484,-0.15019867,-2.4932728,-4.0646048,-0.7875599,-0.29347456,-2.041681,-4.764335,-1.9968055,-2.7129364,-1390.977,-2.3238301,-1.1705785,3.5736742,-2.2402692,4.300318,-1.4642936,-1.2774974,2.7308125,0.028785462,-1.2211667,-0.88646626,JE-TMA-43
JE-TMA-43_scene11_cell1384,5.25181,-2.3672986,-1.1601526,-0.17427751,-2.4207723,-3.7713575,-0.7645269,-0.21708183,-1.8619957,-4.7555413,-1.1865149,-2.2879467,-1390.977,-2.295983,-1.7404901,-0.6106765,-2.2252035,0.112535216,-1.4216008,-0.43005148,0.2982465,0.10707461,1.9903423,-0.5627233,JE-TMA-43
JE-TMA-43_scene11_cell1971,9.748631,-2.3043017,-1.1449603,-0.15072772,-3.1067693,-3.883417,-0.7029502,-0.23846827,-1.8266541,-4.7476473,-1.4362124,-2.1522262,-1390.977,-2.3928287,-1.6112182,-1.2094871,-2.2151635,-0.068376325,-1.4368174,-1.0369616,21.078253,0.050536625,0.5280557,-0.6247751,JE-TMA-43
JE-TMA-43_scene11_cell1509,6.721304,-2.2574496,-1.0949548,-0.11575053,-2.3771389,-3.9079897,-0.7272419,-0.21561186,-1.7565387,-4.7368054,-1.4300877,-2.7090862,-1390.977,-2.2896512,-1.6591861,-1.3578433,-2.2073274,-0.08083417,-1.4188462,-1.2635379,-0.030060662,0.31868732,2.1319776,-0.3269308,JE-TMA-43
JE-TMA-43_scene11_cell569,2.86017,-2.280486,-1.1541475,-0.15555903,-2.7692666,-3.9523683,-0.7688164,-0.259535,-1.68953,-4.65545,-1.9718986,-2.4647036,-1390.977,-2.345748,-1.4040842,-0.85573566,-2.0120153,0.4945564,-1.4567983,-1.424122,-0.23800696,-0.2551167,2.3470092,-0.6614115,JE-TMA-43
JE-TMA-43_scene11_cell2121,7.962614,-1.9705161,-1.1160555,-0.12604973,-2.1830475,-3.6346958,-0.7094277,-0.14346723,-1.443808,-1.4073005,-1.7817817,-1.7451775,-1390.977,-2.2462912,-0.80608195,-0.12817526,-1.8447303,3.3080006,-1.3979158,-1.3829097,-1.2891105,0.21585655,-0.040548954,-0.32801965,JE-TMA-43
JE-TMA-43_scene11_cell1406,5.8378124,-2.3226342,-1.191651,-0.19680938,-1.8912368,-3.8924406,-0.8056745,-0.29744023,-2.1456418,-4.7125754,-0.9452358,-2.5287402,-1390.977,-2.3349802,-1.6779652,0.096529,-2.358421,0.84009767,-1.4654762,-1.2485213,-1.2761539,-0.59136635,-1.5051754,-0.78704834,JE-TMA-43
