,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-11_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-11,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-11_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-11,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-12_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-12,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-12_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-12,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-12_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-12,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-12_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-12,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-12_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-12,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-13_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-13,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-13_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-13,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-13_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-13,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-13_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-13,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-13_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-13,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-14_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-14,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-14_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-14,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-14_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-14,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-14_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-14,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-14_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-14,R0c5,JE-TMA-42,500.0,0.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-01_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-01,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-01_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-01,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-01_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-01,CK14,JE-TMA-42,40.0,1.0
