,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,2.0,251.579333987937
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,2.0,406.9317251201195
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,2.0,497.211446864994
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,8.0,3.0,2790.726121586171
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,3.0,452.80106145354466
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,3.0,228.81019698994848
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,3.0,393.67329917207854
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,3.0,496.6213129845116
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,10.0,4.0,4690.066013957001
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,4.0,441.8958269457567
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,4.0,223.53411537777043
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,4.0,397.26149687784607
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,4.0,493.04352850302115
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,7.0,5.0,2924.460031352583
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,5.0,450.8706885063222
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,5.0,225.50163759711074
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,5.0,393.35033663144156
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,5.0,497.217662228845
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,7.0,6.0,2985.9643131516914
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,6.0,452.8169298040386
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,6.0,221.84783692603065
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,6.0,391.3781913168378
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,6.0,497.7085774588615
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,10.0,1.0,1459.6531486197157
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,1.0,551.2942687831362
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,1.0,309.6595102049515
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,1.0,416.05469630296625
Registered-R1_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,1.0,493.82541469042593
Registered-R2_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,10.0,2.0,2356.558144771634
Registered-R2_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,2.0,446.2190180545479
Registered-R2_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,2.0,244.0886541089643
Registered-R2_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,2.0,403.93028680597115
Registered-R2_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,2.0,496.9140072458026
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,8.0,3.0,2757.0447505329944
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,3.0,416.0992269257721
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,3.0,223.02375669149674
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,3.0,390.2452683135445
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,3.0,494.6379318355155
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,10.0,4.0,4719.789848620705
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,4.0,426.98786547182596
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,4.0,219.1835958833848
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,4.0,391.95581025647806
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,4.0,493.58706816217307
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,7.0,5.0,3239.1430182005383
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,5.0,450.38981681300993
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,5.0,226.64667855870576
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,5.0,393.52171513720833
