,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-017,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-017,E-Cad,BM-Her2N75-18,2500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-049,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-049,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-049,CD68,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-049,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-049,E-Cad,BM-Her2N75-18,2500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-059,DAPI,BM-Her2N75-18,15.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-059,aSMA,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-059,CD68,BM-Her2N75-18,80.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-059,Ki67,BM-Her2N75-18,500.0,5.0
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-059,E-Cad,BM-Her2N75-18,2500.0,5.0
