img_index,rounds,color,imagetype,scene,marker,slide_marker,img_index,marker_y,rounds_y,color_y,minimum,max,exposure,refexp,location,slide,condition,meanpos,meanneg
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c4_ORG.tif,R4,c4,ORG,44294-119,PD1,44294-119_PD1,Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c4_ORG.tif,PD1,R1,c4,4500,65535,250,250,Ring,44294-119,single_R4_normal,5129.3436018957345,926.659210204504
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c4_ORG.tif,R4,c4,ORG,44290-115,PD1,44290-115_PD1,Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c4_ORG.tif,PD1,R1,c4,1702,65535,250,250,Ring,44290-115,single_R4_tumor,2337.416776446642,1125.2188477737525
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c2_ORG.tif,R4,c2,ORG,44294-116,Vim,44294-116_Vim,Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c2_ORG.tif,Vim,R4,c2,1002,65535,30,30,Ring,44294-116,cyclic_R1-5_normal,1470.5583149867782,519.8167877667055
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c2_ORG.tif,R4,c2,ORG,44290-112,Vim,44290-112_Vim,Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c2_ORG.tif,Vim,R4,c2,1002,65535,30,30,Ring,44290-112,cyclic_R1-5_tumor,1824.691526104668,546.6914623374465
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c2_ORG.tif,R4,c2,ORG,44294-119,Vim,44294-119_Vim,Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c2_ORG.tif,Vim,R1,c2,2600,65535,60,60,Ring,44294-119,single_R4_normal,3589.2821608625995,1412.9737103097777
Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c2_ORG.tif,R4,c2,ORG,44290-115,Vim,44290-115_Vim,Registered-(R4)_Vim.CK7.PD1.LaminAC_44290-115_2017_10_26__4667-1_c2_ORG.tif,Vim,R1,c2,1602,65535,60,60,Ring,44290-115,single_R4_tumor,2440.8295368072786,988.3139526706486
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c2_ORG.tif,R5,c2,ORG,44294-116,aSMA,44294-116_aSMA,Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c2_ORG.tif,aSMA,R5,c2,1502,65535,10,10,Ring,44294-116,cyclic_R1-5_normal,3075.2604867569926,373.7846801765255
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c2_ORG.tif,R5,c2,ORG,44290-112,aSMA,44290-112_aSMA,Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c2_ORG.tif,aSMA,R5,c2,1502,65535,30,10,Ring,44290-112,cyclic_R1-5_tumor,2390.2958425110132,570.8440445590649
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c2_ORG.tif,R5,c2,ORG,44294-120,aSMA,44294-120_aSMA,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c2_ORG.tif,aSMA,R1,c2,2200,65535,15,15,Ring,44294-120,single_R5_normal,4052.9103119403608,561.552929996862
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c2_ORG.tif,R5,c2,ORG,44290-116,aSMA,44290-116_aSMA,Registered-(R5)_aSMA.CD68.Ki67.Ecad_44290-116_2017_10_26__4669_c2_ORG.tif,aSMA,R1,c2,1002,65535,20,20,Ring,44290-116,single_R5_tumor,1690.605400879213,413.01177682182436
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c2_ORG.tif,R3,c2,ORG,44294-116,pH3,44294-116_pH3,Registered-R3_pH3.CK14.CD44.CK5_44294-116_c2_ORG.tif,pH3,R3,c2,4002,65535,20,20,Nucleus,44294-116,cyclic_R1-5_normal,,386.58808803418805
Registered-R3_pH3.CK14.CD44.CK5_44290-112_c2_ORG.tif,R3,c2,ORG,44290-112,pH3,44290-112_pH3,Registered-R3_pH3.CK14.CD44.CK5_44290-112_c2_ORG.tif,pH3,R3,c2,3002,65535,20,20,Nucleus,44290-112,cyclic_R1-5_tumor,7700.145308924485,328.07645415312555
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c2_ORG.tif,R3,c2,ORG,44294-118,pH3,44294-118_pH3,Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c2_ORG.tif,pH3,R1,c2,8500,65535,60,60,Nucleus,44294-118,single_R3_normal,11991.48455730954,1598.9310957881291
Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c2_ORG.tif,R3,c2,ORG,44290-114,pH3,44290-114_pH3,Registered-(R3)_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665_c2_ORG.tif,pH3,R1,c2,3002,65535,60,60,Nucleus,44290-114,single_R3_tumor,4882.445786771368,1042.9101689315553
