,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c4_ORG.tif,R3,c4,ORG,44294-116,CD44,44294-116,20.0,3.0
Registered-R3_pH3.CK14.CD44.CK5_44294-116_c5_ORG.tif,R3,c5,ORG,44294-116,CK5,44294-116,100.0,3.0
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c1_ORG.tif,R4,c1,ORG,44290-112,DAPI,44290-112,10.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c2_ORG.tif,R4,c2,ORG,44290-112,Vim,44290-112,30.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c3_ORG.tif,R4,c3,ORG,44290-112,CK7,44290-112,5.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c4_ORG.tif,R4,c4,ORG,44290-112,PD1,44290-112,300.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44290-112_c5_ORG.tif,R4,c5,ORG,44290-112,LaminAC,44290-112,300.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c1_ORG.tif,R4,c1,ORG,44294-116,DAPI,44294-116,5.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c2_ORG.tif,R4,c2,ORG,44294-116,Vim,44294-116,30.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c3_ORG.tif,R4,c3,ORG,44294-116,CK7,44294-116,5.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c4_ORG.tif,R4,c4,ORG,44294-116,PD1,44294-116,300.0,4.0
Registered-R4_Vim.CK7.PD1.LaminAC_44294-116_c5_ORG.tif,R4,c5,ORG,44294-116,LaminAC,44294-116,300.0,4.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c1_ORG.tif,R5,c1,ORG,44290-112,DAPI,44290-112,8.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c2_ORG.tif,R5,c2,ORG,44290-112,aSMA,44290-112,30.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c3_ORG.tif,R5,c3,ORG,44290-112,CD68,44290-112,50.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c4_ORG.tif,R5,c4,ORG,44290-112,Ki67,44290-112,50.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44290-112_c5_ORG.tif,R5,c5,ORG,44290-112,Ecad,44290-112,1000.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c1_ORG.tif,R5,c1,ORG,44290-113,DAPI,44290-113,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c2_ORG.tif,R5,c2,ORG,44290-113,LaminB1,44290-113,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c3_ORG.tif,R5,c3,ORG,44290-113,Ecad,44290-113,30.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c4_ORG.tif,R5,c4,ORG,44290-113,CD44,44290-113,60.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-113_2017_12_01__5463_c5_ORG.tif,R5,c5,ORG,44290-113,LaminAC+CD45,44290-113,1500.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c1_ORG.tif,R5,c1,ORG,44290-114,DAPI,44290-114,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c2_ORG.tif,R5,c2,ORG,44290-114,LaminB1,44290-114,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c3_ORG.tif,R5,c3,ORG,44290-114,Ecad,44290-114,30.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c4_ORG.tif,R5,c4,ORG,44290-114,CD44,44290-114,60.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464_c5_ORG.tif,R5,c5,ORG,44290-114,LaminAC+CD45,44290-114,1500.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c1_ORG.tif,R5,c1,ORG,44290-115,DAPI,44290-115,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c2_ORG.tif,R5,c2,ORG,44290-115,LaminB1,44290-115,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c3_ORG.tif,R5,c3,ORG,44290-115,Ecad,44290-115,30.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c4_ORG.tif,R5,c4,ORG,44290-115,CD44,44290-115,60.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-115_2017_12_01__5465_c5_ORG.tif,R5,c5,ORG,44290-115,LaminAC+CD45,44290-115,1500.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c1_ORG.tif,R5,c1,ORG,44290-116,DAPI,44290-116,4.0,5.0
