,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-08_c4_ORG.tif,R5,c4,ORG,HER2B-K175-Scene-08,pERK,HER2B-K175,1000.0,5.0
Registered-R5_pHH3.PDPN.pERK.FoxP3_HER2B-K175-Scene-08_c5_ORG.tif,R5,c5,ORG,HER2B-K175-Scene-08,FoxP3,HER2B-K175,600.0,5.0
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-02_c1_ORG.tif,R5Q,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,15.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-02_c2_ORG.tif,R5Q,c2,ORG,HER2B-K175-Scene-02,R5Qc2,HER2B-K175,50.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-02_c3_ORG.tif,R5Q,c3,ORG,HER2B-K175-Scene-02,R5Qc3,HER2B-K175,200.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-02_c4_ORG.tif,R5Q,c4,ORG,HER2B-K175-Scene-02,R5Qc4,HER2B-K175,500.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-02_c5_ORG.tif,R5Q,c5,ORG,HER2B-K175-Scene-02,R5Qc5,HER2B-K175,500.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-06_c1_ORG.tif,R5Q,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,15.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-06_c2_ORG.tif,R5Q,c2,ORG,HER2B-K175-Scene-06,R5Qc2,HER2B-K175,50.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-06_c3_ORG.tif,R5Q,c3,ORG,HER2B-K175-Scene-06,R5Qc3,HER2B-K175,200.0,5.5
